Station,Length,Shear
3,330,-1204.0493557270922
3,331,-1204.0493557270922
3,332,-1204.0493557270922
3,333,-1204.0493557270922
3,334,-1204.0493557270922
3,335,-1204.0493557270922
3,336,-1204.0493557270922
3,337,-1204.0493557270922
3,338,-1204.0493557270922
3,339,-1204.0493557270922
3,340,-1204.0493557270922
3,341,-1204.0493557270922
3,342,-1204.0493557270922
3,343,-1204.0493557270922
3,344,-1204.0493557270922
3,345,-1204.0493557270922
3,346,-1204.0493557270922
3,347,-1204.0493557270922
3,348,-1204.0493557270922
3,349,-1204.0493557270922
3,350,-1204.0493557270922
3,351,-1204.0493557270922
3,352,-1204.0493557270922
3,353,-1204.0493557270922
3,354,-1204.0493557270922
3,355,-1204.0493557270922
3,356,-1204.0493557270922
3,357,-1204.0493557270922
3,358,-1204.0493557270922
3,359,-1204.0493557270922
3,360,-1233.1914764669918
3,361,-1233.1914764669918
3,362,-1233.1914764669918
3,363,-1233.1914764669918
3,364,-1233.1914764669918
3,365,-1233.1914764669918
3,366,-1233.1914764669918
3,367,-1233.1914764669918
3,368,-1233.1914764669918
3,369,-1233.1914764669918
3,370,-1233.1914764669918
3,371,-1233.1914764669918
3,372,-1233.1914764669918
3,373,-1233.1914764669918
3,374,-1233.1914764669918
3,375,-1233.1914764669918
3,376,-1233.1914764669918
3,377,-1233.1914764669918
3,378,-1233.1914764669918
3,379,-1233.1914764669918
3,380,-1233.1914764669918
3,381,-1233.1914764669918
3,382,-1233.1914764669918
3,383,-1233.1914764669918
3,384,-1233.1914764669918
3,385,-1233.1914764669918
3,386,-1233.1914764669918
3,387,-1233.1914764669918
3,388,-1233.1914764669918
3,389,-1233.1914764669918
3,390,-1233.1914764669918
3,391,-1233.1914764669918
3,392,-1233.1914764669918
3,393,-1233.1914764669918
3,394,-1233.1914764669918
3,395,-1233.1914764669918
3,396,-1233.1914764669918
3,397,-1233.1914764669918
3,398,-1233.1914764669918
3,399,-1233.1914764669918
3,400,-1233.1914764669918
3,401,-1233.1914764669918
3,402,-1233.1914764669918
3,403,-1233.1914764669918
3,404,-1233.1914764669918
3,405,-1233.1914764669918
3,406,-1233.1914764669918
3,407,-1233.1914764669918
3,408,-1233.1914764669918
3,409,-1233.1914764669918
3,410,-1233.1914764669918
4,411,-1233.1914764669918
4,412,-1233.1914764669918
4,413,-1233.1914764669918
4,414,-1233.1914764669918
4,415,-1233.1914764669918
4,416,-1233.1914764669918
4,417,-1233.1914764669918
4,418,-1233.1914764669918
4,419,-1233.1914764669918
4,420,-1233.1914764669918
4,421,-1233.1914764669918
4,422,-1233.1914764669918
4,423,-1233.1914764669918
4,424,-1233.1914764669918
4,425,-1233.1914764669918
4,426,-1233.1914764669918
4,427,-1233.1914764669918
4,428,-1233.1914764669918
4,429,-1233.1914764669918
4,430,-1233.1914764669918
4,431,-1233.1914764669918
4,432,-1233.1914764669918
4,433,-1233.1914764669918
4,434,-1233.1914764669918
4,435,-1233.1914764669918
4,436,-1233.1914764669918
4,437,-1233.1914764669918
