Station,Length,Moment
3,380,-0.7399125560082404
3,381,-0.7474378371434307
3,382,-0.7549631182786211
3,383,-0.7624883994138114
3,384,-0.7700136805490018
3,385,-0.7775389616841921
3,386,-0.7850642428193825
3,387,-0.7925895239545728
3,388,-0.8001148050897632
3,389,-0.8076400862249535
3,390,-0.8151653673601439
3,391,-0.8226906484953342
3,392,-0.8302159296305246
3,393,-0.837741210765715
3,394,-0.8452664919009053
3,395,-0.8527917730360957
3,396,-0.860317054171286
3,397,-0.8678423353064764
3,398,-0.8753676164416667
3,399,-0.8828928975768571
3,400,-0.8904181787120474
3,401,-0.8979434598472378
3,402,-0.9054687409824281
3,403,-0.9129940221176185
3,404,-0.9205193032528088
3,405,-0.9280445843879992
3,406,-0.9355698655231895
3,407,-0.9430951466583799
3,408,-0.9506204277935703
3,409,-0.9581457089287606
3,410,-0.965670990063951
4,411,-0.9731962711991413
4,412,-0.9807215523343317
4,413,-0.988246833469522
4,414,-0.9957721146047124
4,415,-1.0032973957399027
4,416,-1.010822676875093
4,417,-1.0183479580102832
4,418,-1.0258732391454735
4,419,-1.0333985202806637
4,420,-1.040923801415854
4,421,-1.0484490825510442
4,422,-1.0559743636862344
4,423,-1.0634996448214247
4,424,-1.071024925956615
4,425,-1.0785502070918052
4,426,-1.0860754882269954
4,427,-1.0936007693621856
4,428,-1.1011260504973759
4,429,-1.1086513316325661
4,430,-1.1161766127677564
4,431,-1.1237018939029466
4,432,-1.1312271750381369
4,433,-1.138752456173327
4,434,-1.1462777373085173
4,435,-1.1538030184437076
4,436,-1.1613282995788978
4,437,-1.168853580714088
4,438,-1.1763788618492783
4,439,-1.1839041429844686
4,440,-1.1914294241196588
4,441,-1.198954705254849
4,442,-1.2064799863900393
4,443,-1.2140052675252295
4,444,-1.2215305486604198
4,445,-1.22905582979561
4,446,-1.2365811109308003
4,447,-1.2441063920659905
4,448,-1.2516316732011807
4,449,-1.259156954336371
4,450,-1.2666822354715612
4,451,-1.2742075166067515
4,452,-1.2817327977419417
4,453,-1.289258078877132
4,454,-1.2967833600123222
4,455,-1.3043086411475124
4,456,-1.3118339222827027
4,457,-1.319359203417893
4,458,-1.3268844845530832
4,459,-1.3344097656882734
4,460,-1.3419350468234637
4,461,-1.349460327958654
4,462,-1.3569856090938441
4,463,-1.3690504822027478
4,464,-1.3811153553116515
4,465,-1.3931802284205552
4,466,-1.405245101529459
4,467,-1.4173099746383626
4,468,-1.4293748477472663
4,469,-1.44143972085617
4,470,-1.4535045939650737
4,471,-1.4655694670739774
4,472,-1.477634340182881
4,473,-1.4896992132917848
4,474,-1.5017640864006885
4,475,-1.5138289595095922
4,476,-1.5258938326184959
4,477,-1.5379587057273996
4,478,-1.5500235788363033
4,479,-1.562088451945207
4,480,-1.5741533250541107
4,481,-1.5862181981630143
4,482,-1.598283071271918
4,483,-1.6103479443808217
4,484,-1.6224128174897254
4,485,-1.6344776905986291
4,486,-1.6465425637075328
4,487,-1.6586074368164365
4,488,-1.6706723099253402
4,489,-1.682737183034244
4,490,-1.6948020561431476
4,491,-1.7068669292520513
4,492,-1.718931802360955
4,493,-1.7309966754698587
4,494,-1.7430615485787624
4,495,-1.755126421687666
4,496,-1.7671912947965698
4,497,-1.7792561679054735
